Company,ID,Domain,Proposition,,,,,,,,,,,,
Quench Botanics    ,@quenchbotanics,Science Skincare  ,clinical ingredient skincare for sensitive skin,,,,,,,,,,,,
Anua    ,@anua_global,Science Skincare  ,clinical skincare powered by proven actives,,,,,,,,,,,,
Auli Lifestyle   ,@auliglow,Science Skincare  ,science driven acne and barrier repair,,,,,,,,,,,,
Cetaphil India   ,@cetaphil_india,Science Skincare  ,dermatology backed active ingredient skincare,,,,,,,,,,,,
COSRX    ,@cosrx,Science Skincare  ,clinical ingredient skincare for sensitive skin,,,,,,,,,,,,
Simple    ,@simpleskin,Science Skincare  ,lab formulated skincare for real results,,,,,,,,,,,,
Isntree    ,@isntree,Science Skincare  ,dermatology backed active ingredient skincare,,,,,,,,,,,,
Plum    ,@plumgoodness,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
Khadi Natural   ,@khadinatural,Natural Skincare  ,ayurvedic inspired clean beauty rituals,,,,,,,,,,,,
Juicy Chemistry   ,@juicy_chemistry,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
NatHabit    ,@nathabit.in,Natural Skincare  ,herbal ingredient beauty with modern formulation,,,,,,,,,,,,
Forest Essentials   ,@forestessentials,Natural Skincare  ,herbal ingredient beauty with modern formulation,,,,,,,,,,,,
Kama Ayurveda   ,@kamaayurveda,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
SoulTree    ,@soultree.in,Natural Skincare  ,natural toxin free skincare essentials,,,,,,,,,,,,
Just Herbs   ,@justherbsindia,Natural Skincare  ,clean botanical skincare rooted in nature,,,,,,,,,,,,
Biotique    ,@biotique_world,Natural Skincare  ,ayurvedic inspired clean beauty rituals,,,,,,,,,,,,
Lotus Herbals   ,@lotus_herbals,Natural Skincare  ,clean botanical skincare rooted in nature,,,,,,,,,,,,
Organic Harvest   ,@oh_ind,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
Rustic Art   ,@rusticart,Natural Skincare  ,plant powered skincare for everyday glow,,,,,,,,,,,,
Bare Necessities   ,@barenecessities,Natural Skincare  ,herbal ingredient beauty with modern formulation,,,,,,,,,,,,
Clean Hippie   ,@cleanhippiecbd,Natural Skincare  ,natural toxin free skincare essentials,,,,,,,,,,,,
Vilvah    ,@vilvah_,Natural Skincare  ,clean botanical skincare rooted in nature,,,,,,,,,,,,
Suganda    ,@suganda.co,Natural Skincare  ,clean botanical skincare rooted in nature,,,,,,,,,,,,
