Company,Category,Username - Computed,Proposition
Lux,Soap & Body Wash,@lux,iconic fragrance soap for smooth and glowing skin
Dove,Soap & Body Wash,@dove,moisturising body care with 1/4 moisturising cream
Lifebuoy,Soap & Body Wash,@lifebuoysoap,germ protection soap for family hygiene and health
Vaseline,Soap & Body Wash,@vaselinebrand,healing moisturiser for dry and damaged skin
Pond's India,Soap & Body Wash,@pondsindia,brightening and anti-ageing skincare for Indian women
Santoor,Soap & Body Wash,@shantanoor,sandalwood and turmeric soap for youthful glowing skin
Medimix,Soap & Body Wash,@medimixayurveda,ayurvedic medicated soap for skin problems and pimples
Cinthol,Soap & Body Wash,@godrejcinthol,active freshness deodorant soap for confident skin
Palmolive India,Soap & Body Wash,@palmoliveindia,natural inspired body wash and soap for gentle cleansing
Koparo,Soap & Body Wash,@koparo.clean,plant based natural home and personal care essentials
The Better Home,Soap & Body Wash,@thebetter.home,toxic free sustainable home cleaning and care products
Bombay Shaving Company,Men's Grooming,@bombayshavingcompany,premium shaving and grooming kits for modern Indian men
Beardo,Men's Grooming,@beardo.official,beard care and grooming products for the bearded man
Gillette India,Men's Grooming,@gilletteindia,world's best razor and shaving system for a precise shave
Old Spice India,Men's Grooming,@oldspiceindia,classic masculine fragrance and grooming for confident men
Set Wet,Men's Grooming,@setwetstyling,affordable hair styling and deodorant for young Indian men
Brut India,Men's Grooming,@brut.india,classic masculine deodorant and fragrance for men
Ustraa,Men's Grooming,@theustraa,no nonsense grooming products built for real Indian men
Bombay Perfumery,Men's Grooming,@bombayperfumery,artisan Indian perfumes and fragrances inspired by Mumbai
Skinn by Titan,Men's Grooming,@skinn_titan,affordable luxury perfumes and fragrances by Titan
Garnier India,Hair Care,@garnierindia,natural ingredient hair and skin care for everyday use
Livon,Hair Care,@livon,serum based hair care for frizz free smooth hair finish
Vatika,Hair Care,@vatikaamericas,natural enriched hair oil and care for strong healthy hair
Nihar Naturals,Hair Care,@niharnaturals,coconut oil enriched haircare for strong and shiny hair
Wella India,Hair Care,@wellaindia,professional hair colour and care trusted by salons globally
Fogg,Deodorant & Fragrance,@fogg_gcc,long lasting body spray and perfume at everyday price
Axe India,Deodorant & Fragrance,@axe_india,magnetic body spray and grooming for young men
Layer'r Shot,Deodorant & Fragrance,@layerrshot.official,budget pocket perfume for everyday freshness on the go
Davidoff India,Deodorant & Fragrance,@davidoffparfums,premium imported masculine fragrance for aspirational men
Nivea India,Science Skincare,@niveaindia,dermatologist tested moisturising skincare for everyday protection
Olay India,Science Skincare,@olayindia,age defying skincare with regenerist and vitamin C technology
Glow & Lovely,Science Skincare,@glownetflix,skin brightening and nourishing care for confident women
Boroplus,Science Skincare,@boroplusindia,antiseptic cream and skin protection for everyday healing
Navratna,Science Skincare,@navratna_official,cool oil and talc for heat relief and relaxation
Vivel,Science Skincare,@vivel_official,nourishing soap and skincare range by ITC
Vicco,Science Skincare,@viccolabs,turmeric based herbal cream for natural skin glow
Biotique India,Natural Skincare,@Biotique_world,bio botanical skincare with certified organic ingredients
Mismatch,Makeup,@mismatch4eva,bold indie makeup for Gen Z with unconventional finishes
Elle 18,Makeup,@elle18_india,first makeup for young girls with fun bold colours
Coloressence,Makeup,@coloressenceofficial,professional grade makeup for salon and everyday use
Bla Bli Blue,Makeup,"Fragrances that is true , BLA BLI BLU Choose @blabliblu ...",playful colour cosmetics for experimental makeup lovers
Vim,Home Cleaning,@vimsmusix,dishwash gel and bar for tough grease removal
Harpic,Home Cleaning,@harpicuk,powerful toilet cleaner for complete germ protection
Colin,Home Cleaning,@colinjost,glass and surface cleaner for sparkling home surfaces
Exo,Home Cleaning,@weareone.exo,dishwash bar and gel for tough Indian kitchen grease
Haldiram's,FMCG Snacks,@haldiraminternational,India's largest snack brand for traditional namkeens and sweets
Saffola,FMCG Snacks,@Saffolalife,heart healthy edible oil and functional foods by Marico
Catch Spices,FMCG Snacks,@catch_foods,premium spices and seasonings for modern Indian kitchens
Myntra,eCommerce,@myntra,India's largest fashion and lifestyle ecommerce destination
Meesho,eCommerce,@meeshoapp,social commerce platform enabling India's small businesses
AJIO,eCommerce,@ajiolife,fashion forward curated shopping platform by Reliance
Tata CLiQ,eCommerce,@tatacliqfashion,premium trusted ecommerce for electronics and fashion by TATA
JioMart,eCommerce,@jiomartofficial,hyperlocal grocery and essentials delivery by Reliance
Ogilvy India,Media & Advertising,@ogilvyindia,iconic creative agency building brands through big ideas
DDB Mudra,Media & Advertising,@ddbmudragroup,integrated creative agency for brand and digital campaigns
Havas India,Media & Advertising,@havasindia,integrated communications group for meaningful brand content
Publicis India,Media & Advertising,@publicis_india,creative and digital solutions for brand transformation
SquadStack,Sales Tech,@squadstack.ai,AI powered inside sales and voice agent platform for D2C brands
AU Small Finance Bank,BFSI,@aubankindia,digital first banking with premium service for aspirational India
Plum Insurance,BFSI,@getplumhq,group health insurance platform for startups and SMEs
HUL,FMCG Conglomerate,@hul.news,India's largest FMCG company across home beauty and food
Ozone Group,Pharma & Personal Care,@ozonegroupco,pharma backed personal care and hygiene brand house
